task,domain,strategy,n,faithfulness_mean,answer_relevance_mean,context_usefulness_mean,completeness_mean,hallucination_yes_rate,hallucination_partial_rate
c,clapnq,large,20,4.15,4.45,4.0,3.2,0.1,0.05
c,clapnq,legacy,20,4.35,4.45,4.15,3.35,0.0,0.05
c,clapnq,multiscale,20,4.4,4.1,3.85,3.4,0.1,0.0
c,clapnq,noretrieval,20,4.1,4.55,1.0,2.45,0.05,0.15
c,clapnq,small,20,4.55,4.65,3.65,3.25,0.1,0.0
c,cloud,large,20,4.25,4.5,3.4,3.75,0.1,0.05
c,cloud,legacy,20,4.15,4.25,3.5,3.6,0.15,0.05
c,cloud,multiscale,20,2.25,3.35,1.95,2.45,0.5,0.3
c,cloud,noretrieval,20,3.75,4.15,1.2,2.35,0.1,0.1
c,cloud,small,20,4.05,4.35,3.1,3.2,0.2,0.05
c,fiqa,large,20,4.25,4.45,3.5,3.3,0.1,0.1
c,fiqa,legacy,20,4.45,4.6,3.55,3.1,0.05,0.05
c,fiqa,multiscale,20,4.2,4.7,3.3,3.2,0.05,0.05
c,fiqa,noretrieval,20,4.85,4.6,1.0,2.9,0.05,0.0
c,fiqa,small,20,4.75,4.75,3.65,3.2,0.05,0.0
c,govt,large,20,4.15,4.05,3.3,2.65,0.1,0.1
c,govt,legacy,20,4.75,4.35,3.25,2.9,0.05,0.0
c,govt,multiscale,20,3.15,3.55,2.15,2.6,0.35,0.15
c,govt,noretrieval,20,4.5,4.25,1.0,2.45,0.0,0.0
c,govt,small,20,4.6,4.3,3.0,2.65,0.1,0.0
