task,domain,strategy,n,faithfulness_mean,answer_relevance_mean,context_usefulness_mean,completeness_mean,hallucination_yes_rate,hallucination_partial_rate
c,clapnq,large,20,4.25,3.75,4.1,2.9,0.15,0.0
c,clapnq,legacy,20,4.05,4.15,4.1,3.0,0.1,0.05
c,clapnq,multiscale,20,4.2,4.25,4.0,3.15,0.15,0.0
c,clapnq,noretrieval,20,4.35,3.1,1.0,1.65,0.0,0.1
c,clapnq,small,20,4.45,4.35,3.75,3.55,0.1,0.05
c,cloud,large,20,4.3,4.45,4.0,3.25,0.1,0.15
c,cloud,legacy,20,4.2,4.35,3.7,3.4,0.15,0.05
c,cloud,multiscale,20,2.15,3.4,2.05,2.6,0.55,0.25
c,cloud,noretrieval,20,3.35,3.05,1.0,1.55,0.1,0.05
c,cloud,small,20,4.1,3.8,3.55,2.65,0.1,0.05
c,fiqa,large,20,4.9,4.65,4.2,3.65,0.0,0.0
c,fiqa,legacy,20,4.8,4.65,4.05,3.7,0.05,0.0
c,fiqa,multiscale,20,4.5,4.35,3.7,3.6,0.1,0.0
c,fiqa,noretrieval,20,4.05,3.15,1.0,1.95,0.15,0.05
c,fiqa,small,20,4.5,4.45,3.9,3.5,0.1,0.0
c,govt,large,20,4.75,4.3,3.6,2.95,0.0,0.0
c,govt,legacy,20,5.0,4.05,3.7,3.1,0.0,0.0
c,govt,multiscale,20,3.2,3.35,2.3,2.7,0.3,0.2
c,govt,noretrieval,20,4.6,2.8,1.0,1.95,0.0,0.0
c,govt,small,20,4.65,4.2,3.25,2.95,0.05,0.0
