task,domain,strategy,n,faithfulness_mean,answer_relevance_mean,context_usefulness_mean,completeness_mean,hallucination_yes_rate,hallucination_partial_rate
c,clapnq,large,20,4.15,4.25,4.25,3.55,0.15,0.0
c,clapnq,legacy,20,4.3,4.15,3.85,3.35,0.1,0.05
c,clapnq,multiscale,20,4.2,4.2,3.9,3.7,0.15,0.0
c,clapnq,noretrieval,20,4.35,3.85,1.0,2.45,0.0,0.1
c,clapnq,small,20,4.45,4.45,3.7,4.0,0.1,0.05
c,cloud,large,20,4.35,4.35,4.1,3.85,0.1,0.15
c,cloud,legacy,20,4.15,4.45,3.75,3.7,0.1,0.05
c,cloud,multiscale,20,1.95,3.2,1.95,2.35,0.75,0.05
c,cloud,noretrieval,20,3.5,3.1,1.0,1.7,0.1,0.1
c,cloud,small,20,4.2,3.9,3.6,3.1,0.1,0.05
c,fiqa,large,20,4.9,4.55,4.15,4.25,0.0,0.0
c,fiqa,legacy,20,5.0,4.65,4.45,4.5,0.0,0.0
c,fiqa,multiscale,20,4.35,4.6,3.6,3.95,0.15,0.0
c,fiqa,noretrieval,20,4.05,3.75,1.0,3.15,0.15,0.0
c,fiqa,small,20,4.7,4.45,3.8,4.2,0.05,0.0
c,govt,large,20,4.45,4.3,3.75,3.3,0.0,0.0
c,govt,legacy,20,4.9,4.3,3.9,3.85,0.0,0.0
c,govt,multiscale,20,2.9,3.4,2.2,2.8,0.4,0.15
c,govt,noretrieval,20,4.6,3.15,1.0,2.4,0.0,0.0
c,govt,small,20,4.5,4.2,3.5,3.6,0.05,0.0
